symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
ATIL,1961,0.01631820499745028,2.6445759089455547e-05,0.16683118997723395,0.7835123394174681,4989.826059589655,True,3.026824001723611e-05,0.20644787222706842,0.751553472941136,4846.01151904512,True,3.4676767151189285e-05,0.19869636295805354,0.7392445290886702,4848.00506193587,True,0.03186517298081959,0.03961668224983447,False,
ATLH,2167,0.014766958929395477,0.00010963910908635812,0.20931990857343907,0.571964362727639,5313.159845483987,True,0.00012008462217918312,0.23831943730183153,0.5399886422652023,5159.966212898209,True,0.00012314889621008825,0.2269885217260919,0.5366235106637977,5157.483483253235,True,0.017668613152652834,0.028999528728392454,False,
ATRL,2471,0.04330230675839741,4.073566587469907e-05,0.1234225564032578,0.8313063064357922,5401.680264636707,True,4.128350694044313e-05,0.15727317805744614,0.8173908330530508,4948.514757390758,True,4.795212870330278e-05,0.13875870490243652,0.8138637133921031,4951.70949168758,True,0.01533614849917872,0.03385062165418834,False,
AVN,2465,0.05354969574036511,5.038156090619579e-05,0.1295757993406899,0.8091063293510269,5451.74963562991,True,5.83527303904771e-05,0.19078380551231483,0.7715033951910918,4892.873578858617,True,6.821391564409781e-05,0.16671844248138984,0.7621928084632037,4895.744432754632,True,0.03714264314069993,0.06120800617162492,False,
BAFL,2469,0.008910490076954233,3.702663777564113e-05,0.13576739717909142,0.7666895795018196,6401.299259775268,True,3.904615723305049e-05,0.15117206301474778,0.752613902207502,6292.776286493996,True,4.097381459155465e-05,0.1489115146162176,0.7463920045778571,6293.144992451674,True,0.01314411743712618,0.015404665835656361,False,
BAHL,2469,0.0064803564196030785,2.023329024709961e-05,0.09576669939255109,0.8427886251961869,6571.171185499556,True,2.1118283088728047e-05,0.10126306000499019,0.8371820316066878,6488.474558261278,True,2.1901678039556883e-05,0.09942019594326199,0.8347628085101382,6488.966163942201,True,0.0036534965507108996,0.005496360612439105,False,
BAPL,1985,0.1269521410579345,9.692803661581184e-05,0.10673560966084841,0.8578405756621743,3164.9351352266067,True,0.0001075101903600846,0.1540660442104923,0.8459339557894899,2282.669072868191,True,0.000304999904971252,0.2003838749317267,0.7185765670437259,2296.723360935489,True,0.0936482652708783,0.04733043454964389,False,
BATA,2014,0.022840119165839126,3.015128897603579e-05,0.16107311285360143,0.7878965518151273,4960.425311528808,True,3.219716788654441e-05,0.19184603585544774,0.7700422918507661,4758.068573892861,True,3.1411022043769155e-05,0.17221261764176948,0.7795459834873983,4757.302216523832,True,0.011139504788168053,0.03077292300184631,False,
BBFL,533,0.020637898686679174,6.29248946994233e-05,0.13195237003835905,0.7929818946306756,1167.900316852474,True,0.00012503147563229305,0.2346751746071451,0.6458387008219564,1118.849113942286,True,0.00012834799646931788,0.21803547028658216,0.6467325029686402,1118.5937074596238,True,0.0860831002482231,0.10272280456878605,False,
BCL,2351,0.09017439387494683,0.00018584038946370084,0.18742681628077604,0.6529562091619892,4711.881759153708,True,0.00020295148810779042,0.29530125662004464,0.616950975895288,3872.0303715359287,True,0.00023957217015326118,0.24348287075110808,0.5937368267312071,3883.9001942968353,True,0.056056054470332045,0.1078744403392686,False,
BECO,1246,0.0521669341894061,9.605479060075252e-05,0.1419934881369622,0.791377546900617,2426.3513524257587,True,8.288534133643326e-05,0.20189409220342713,0.7799635130470026,2185.1999616596568,True,0.00013233641887011512,0.19065345708063858,0.7339330636685275,2193.944483189267,True,0.048659968943676385,0.05990060406646494,False,
BELA,752,0.14095744680851063,0.0010406175788615574,0.2752557918437156,0.3634272073721168,1178.6058759461007,True,0.001240076660213588,0.7567896781324284,0.23576931714418528,847.961296790254,True,0.0012409773407743652,0.5586827961478245,0.2323202947675057,879.5118302014541,True,0.28342700430410883,0.48153388628871274,False,
BERG,2278,0.0504828797190518,9.881279944891245e-05,0.1705201837954478,0.703669731298356,5058.331399904571,True,0.0001210479750891756,0.25881243729762005,0.6388576057131703,4573.811406378316,True,0.00013706771219628556,0.22906877087007876,0.6221390234071388,4580.858278433288,True,0.05854858707463095,0.08829225350217224,False,
BGL,2476,0.04240710823909531,0.00015284406105443366,0.15298816269024673,0.7419446867131692,4772.289767960782,True,0.00015401999249238532,0.18973310521181314,0.7341578546379315,4345.961233989244,True,0.00019355996056708572,0.18059391517711887,0.7004725711570412,4346.005647031094,True,0.027605752486872137,0.036744942521566404,False,
BHAT,1003,0.12163509471585245,7.227248890503449e-05,0.13117388014963136,0.8203512386684135,1927.6904038549894,True,9.172060425748644e-05,0.21965190414665747,0.7803480958533391,1466.744019441466,True,7.34346195775039e-05,0.148645250954407,0.816609149557564,1470.401727025717,True,0.01747137080477565,0.08847802399702612,False,
BIFO,2402,0.028726061615320566,3.138006775843153e-05,0.11532601635355726,0.8335829088563284,5695.831215089756,True,3.0498571803545144e-05,0.1356742303957182,0.828394054092731,5383.262702681787,True,3.5992800257169644e-05,0.12856282749966597,0.8175158655451891,5385.8432212239995,True,0.01323681114610871,0.02034821404216093,False,
BILF,2089,0.04930588798468167,0.0008542104518592297,0.18578707350218046,0.636746568416027,2763.4845935996764,True,0.001239289790277285,0.26966313476663245,0.5240494583123658,2428.6066408742026,True,0.001420850401494669,0.2679589773961581,0.47291134614254243,2436.828976684148,True,0.08217190389397763,0.08387606126445199,False,
BIPL,2405,0.014553014553014554,0.00013698124543595682,0.1478154195355848,0.6458491674214466,5490.140329131752,True,0.0001430099731809689,0.1664217877313791,0.6320769217617732,5324.208123781585,True,0.00015040729596578186,0.16085195780062994,0.6214001706702199,5323.663052074165,True,0.013036538265045139,0.01860636819579431,False,
BIPLS,838,0.081145584725537,3.649736778262589e-05,0.06311579347421206,0.9263331211618537,1225.0753395734127,True,3.896398438308191e-05,0.07227233544735656,0.9277276645497601,983.3777187342123,True,5.2895261753633885e-05,0.0628116450929872,0.9237307309378004,981.7575906358624,True,-0.0003041483812248613,0.0091565419731445,False,
BML,2473,0.003639304488475536,0.0004998939246749872,0.2776702692817751,0.4616662351684341,4519.301080283172,True,0.0004981767895379384,0.2861689053614039,0.4611250270485675,4482.522349163814,True,0.0004944682450678593,0.28217805916737376,0.4649676779179691,4482.86592576963,True,0.00450778988559869,0.008498636079628807,False,
