symbol,n,censor_rate,alpha_n,beta_n,nu_n,ok_n,alpha_c,nu_c,ok_c,alpha_l,beta_l,nu_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
BHAT,1003,0.12163509471585245,0.2597634375889155,0.7402365624110839,3.296654521390763,True,0.8964804505673183,2.266888854611633,True,0.9673863323575683,0.017261447717327256,2.614890942962843,True,0.7076228947686528,0.6367170129784028,True,
BIFO,2402,0.028726061615320566,0.22911541413421532,0.7564069478170362,3.7640879888650156,True,0.2648336875521556,3.2102182407502755,True,0.21118429690803475,0.7109104952370789,3.2024518339893646,True,-0.01793111722618057,0.03571827341794026,False,
BILF,2089,0.04930588798468167,0.26735091792155874,0.6121069111873698,4.681788934169031,True,0.45465117469767813,3.525306110882877,True,0.38763350507293765,0.4281112242035714,3.4559639440141012,True,0.1202825871513789,0.1873002567761194,False,
BIPL,2405,0.014553014553014554,0.2991509115406705,0.700849088459299,2.8855229540978105,True,0.3201894824121527,2.768940349558612,True,0.25505058300989514,0.6379771655963234,2.896293682561269,True,-0.04410032853077539,0.0210385708714822,True,
BML,2473,0.003639304488475536,0.38821206723135376,0.49376655288533966,2.9790452227195865,True,0.4193847224300791,2.886730631139689,True,0.39644151933528177,0.4382345344961054,2.953031893095112,True,0.008229452103928003,0.031172655198725363,False,
BNL,1451,0.07236388697450034,0.25179073948241126,0.6977652483112601,4.922678352751295,True,0.4539096225996875,3.544742303733993,True,0.493494213143815,0.39494820651988327,2.84192093839368,True,0.2417034736614037,0.20211888311727622,False,
BNWM,2039,0.05492888670917116,0.2057371995842487,0.7551099902599537,7.908763784525298,True,0.3063032399388841,4.4958413036897635,True,0.2510406907097157,0.703728104994213,4.021959414860792,True,0.045303491125467,0.1005660403546354,False,
BOK,2193,0.015503875968992248,0.5048879747833744,0.4951120252165978,3.6304098613781504,True,0.53256035079906,3.4558594303851917,True,0.572179584914752,0.42782041508515267,3.2553291737374748,True,0.06729161013137752,0.027672376015685507,True,
BOP,2474,0.014955537590945837,0.2445794861271475,0.7443410915322578,3.649206134391111,True,0.26434183731589483,3.361005440247496,True,0.22123270365455977,0.7289262356397661,3.4877292396238286,True,-0.02334678247258773,0.019762351188747335,False,
BPL,1945,0.08277634961439588,0.20210382372117006,0.6980514606360235,14.944530838250097,True,0.40506740594138296,4.131506144966819,True,0.30839402707982055,0.5723900583989912,3.351914622326066,True,0.1062902033586505,0.2029635822202129,False,
BRRG,726,0.01652892561983471,0.30062454652332155,0.5074433302198798,5.060609196882115,True,0.41403632336167634,3.6898921538665284,True,0.32706277789946425,0.4799673770141293,4.063554087448021,True,0.026438231376142707,0.1134117768383548,False,
BTL,1396,0.10816618911174786,0.16095047934042406,0.8390495206595747,4.578849501234456,True,0.18877220131104366,4.047035189755098,True,0.13788787335184838,0.8621121266474472,2.3249712512277614,True,-0.02306260598857568,0.027821721970619606,True,
BUXL,1988,0.1493963782696177,0.20002364332762188,0.7366598567294913,27.82911198525353,True,0.4129134584257341,5.568089634849482,True,0.3560254278864147,0.6229605212046363,2.884494066510822,True,0.15600178455879285,0.21288981509811225,False,
