dist,L,seed,censor_rate,alpha_naive,alpha_partial,alpha_latent
t,0.05,44,0.0224,0.1591071739251312,0.2006134317854128,0.15726696122323364
t,0.05,45,0.0332,0.12282429535487083,0.1595520147606774,0.12470960094372092
t,0.05,46,0.0204,0.14091778971145047,0.17407698970084082,0.1568475818653954
t,0.05,47,0.0296,0.15935523798021511,0.2133037881999065,0.15186654696901614
t,0.05,48,0.0136,0.11173142052866214,0.12837180045831115,0.10896168412279855
t,0.05,49,0.0176,0.13557632920745652,0.16179036978566194,0.1402490500954383
t,0.04,0,0.0396,0.14567090280006223,0.2210776028517165,0.1655643199561045
t,0.04,1,0.05,0.12223013675600813,0.21712099832115467,0.162802361238407
t,0.04,2,0.0428,0.1140167956767852,0.17221394263405287,0.13711947227718457
t,0.04,3,0.058,0.13857103236059487,0.31735388140578247,0.1750373076034586
t,0.04,4,0.04,0.18010664225699824,0.26318616691139646,0.21433805611472337
t,0.04,5,0.0696,0.12933817928952857,0.196147672777898,0.1697072788010589
t,0.04,6,0.044,0.13539393365516714,0.20113558562637973,0.1662535229293589
t,0.04,7,0.0384,0.13424169142248712,0.1989823055114458,0.14300377479845033
t,0.04,8,0.0608,0.12260340535445745,0.18380013074143256,0.15566590766329985
t,0.04,9,0.0844,0.12093091223304742,0.1886080929562226,0.17526075072406
t,0.04,10,0.0516,0.15149640778109613,0.21692482547727476,0.16595745379882454
t,0.04,11,0.0484,0.16063063578754377,0.25137236674727725,0.18945359177782148
t,0.04,12,0.0412,0.152627068088034,0.21816502321299713,0.16463826554132177
t,0.04,13,0.0408,0.13928628460156858,0.2078235242339232,0.16945275055640618
t,0.04,14,0.0468,0.1275143358604628,0.20185881209210266,0.14287005764944286
t,0.04,15,0.0316,0.12894568811145887,0.18960491819888461,0.16204415018816032
t,0.04,16,0.0644,0.1415036801202355,0.20191086978092163,0.17733592353966748
t,0.04,17,0.0292,0.17694310235283653,0.237130761569469,0.19115636809815204
t,0.04,18,0.0636,0.1509972552219351,0.23448400983755985,0.18034823561492683
t,0.04,19,0.0432,0.13789637255588283,0.21298353089511818,0.17820420016314886
t,0.04,20,0.0488,0.13391958960804684,0.21129927894208322,0.15186300454419138
t,0.04,21,0.0372,0.11719203834446243,0.17356489708501344,0.12715900501412128
t,0.04,22,0.0384,0.1439045087073632,0.2071295363970844,0.1513368112792659
t,0.04,23,0.05,0.1118100191876836,0.18535606036327823,0.130884992950687
t,0.04,24,0.0476,0.13380648346557217,0.1957284540566614,0.14242986835160187
t,0.04,25,0.0852,0.12036468841951364,0.197499692768787,0.17979361475744737
t,0.04,26,0.042,0.1428990411275829,0.21317648056660823,0.1658793873086909
t,0.04,27,0.0444,0.16529462702043457,0.2406735389512349,0.17729903929133306
t,0.04,28,0.0368,0.12736400764359657,0.1819586150242114,0.1440403340849246
t,0.04,29,0.044,0.12990357112833553,0.19756763418251833,0.15301214003923413
t,0.04,30,0.0432,0.16174110717267187,0.2225679359924473,0.16224832664635327
t,0.04,31,0.0816,0.1299979019598401,0.1947121757397588,0.19146698448441593
t,0.04,32,0.0332,0.14012773827500719,0.19250971370846173,0.14909718901454144
t,0.04,33,0.0352,0.13179578885437998,0.18592984806229812,0.13438220224730113
t,0.04,34,0.0516,0.13653156683674728,0.1971550714582494,0.1462819716359972
t,0.04,35,0.0496,0.11548363563751257,0.1665664849610303,0.14904983044503872
t,0.04,36,0.0368,0.1393374954735075,0.19826598448491228,0.1312361575831692
t,0.04,37,0.052,0.1306667196569355,0.20109877823338781,0.1513793053326508
t,0.04,38,0.0344,0.12619199498062156,0.17603435952750945,0.13172950577630604
