symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error,regime
AHCL,910,0.015384615384615385,6.479228971481476e-05,0.12187011127168196,0.7706718145313725,2111.6227294900305,True,7.050037943229459e-05,0.14042602256902187,0.7514791254918189,2046.905196308335,True,7.700104404334193e-05,0.14023350037015472,0.737325029468165,2048.709221020297,True,0.018363389098472765,0.01855591129733991,False,,7.5%
AHCL,539,0.014842300556586271,9.184902560730013e-05,0.1321902989201973,0.7378623404615374,1220.9578057505983,True,0.00024832929314936415,0.25454395538814,0.42077846420225706,1185.3543909125433,True,0.00026732563481503486,0.24728872621304865,0.3908045602337065,1185.120683086995,True,0.11509842729285136,0.12235365646794272,False,,10.0%
AHL,809,0.09765142150803462,0.0001070014691338365,0.1576998783505699,0.6805496264595639,1837.5855692979487,True,0.00011341552349422224,0.27799685100707905,0.6421356398689403,1504.1547240273242,True,0.0001357261657115942,0.23124782543679795,0.612658708652974,1509.469997669065,True,0.07354794708622805,0.12029697265650915,False,,5.0%
AHL,1025,0.023414634146341463,0.00010681689021556208,0.1429098161422034,0.6715184153400505,2402.061189884973,True,0.00010853525316741893,0.17566444091826441,0.6576562427194539,2292.9631411648743,True,0.00011361021794561977,0.16774072430317974,0.6492014066141216,2296.195100345214,True,0.024830908160976328,0.032754624776061,False,,7.5%
AHL,540,0.020370370370370372,8.761972109067051e-05,0.1854560336547893,0.705013866523061,1222.0253409429615,True,8.824694670327026e-05,0.21068431960351375,0.6977073828378071,1174.3337922844175,True,0.000106453248774565,0.21504253182640198,0.6593557297897457,1174.8088470326263,True,0.029586498171612685,0.02522828594872445,False,,10.0%
AICL,807,0.01982651796778191,0.00029274237135543764,0.2247600964997553,1.4456314946524731e-11,2053.9940864723776,True,0.0002948979678575547,0.26910810488123327,1.3132397699349916e-11,1977.3215697159028,True,0.00029713002696737055,0.25279747696009125,1.4179120730131633e-11,1977.3038295604545,True,0.028037380460335937,0.044348008381477955,False,,5.0%
AICL,1019,0.005888125613346418,2.5620914965759782e-05,0.0476991994297675,0.8899946892320294,2524.218828782005,True,2.672131080736758e-05,0.05171860976173066,0.884671053123401,2493.7771936352888,True,2.7534720705389252e-05,0.05193206259841452,0.8819857759523683,2494.2204573116273,True,0.004232863168647023,0.004019410331963166,False,,7.5%
AICL,544,0.025735294117647058,0.00013136646466163168,0.24625948619628332,0.6284964256321571,1172.1858501565148,True,0.00013047806686661831,0.2913271932342917,0.6178694705440206,1111.2290646166605,True,0.00013686407085422624,0.2687484345660738,0.6162473415497756,1109.853440427319,True,0.022488948369790457,0.04506770703800836,False,,10.0%
AIRLINK,661,0.04236006051437216,0.00010353677093183751,0.1885985927693264,0.6936636349745309,1437.721939642194,True,9.606231206988166e-05,0.2514734948345122,0.6819622307934233,1323.7466500605915,True,0.00011305452775424295,0.22839168682429425,0.6628094084577463,1325.476875733298,True,0.039793094054967865,0.06287490206518581,False,,7.5%
AIRLINK,544,0.01838235294117647,0.0001372886489928098,0.2062124408470118,0.6451390567395268,1181.7939247390418,True,0.0001340877431657779,0.23765061727099973,0.6400904580660101,1137.4410260364896,True,0.00014233048532521142,0.22539360885592657,0.6324836274224592,1136.361863772393,True,0.019181168008914784,0.03143817642398794,False,,10.0%
AKBL,818,0.022004889975550123,3.85468050930849e-05,0.11828145898803513,0.7619438330254288,2166.1592777652295,True,3.994408426804208e-05,0.12837575186735328,0.7591454330603562,2072.3200502498535,True,4.073795662824969e-05,0.11916935990408059,0.7601233156657485,2071.5261742233697,True,0.0008879009160454587,0.01009429287931815,False,,5.0%
AKBL,1030,0.0048543689320388345,4.4080015602878796e-05,0.12127473974082731,0.7385956362530302,2731.9968734975573,True,4.551712175528586e-05,0.126746259597517,0.7316633263560823,2704.3933840444142,True,4.582480411786972e-05,0.12796593123257938,0.7287903385063054,2704.557607281634,True,0.006691191491752069,0.005471519856689699,False,,7.5%
AKBL,543,0.011049723756906077,7.679993451032086e-05,0.10451979551604126,0.7982236767272766,1193.845486382415,True,7.599872777658029e-05,0.11003280607276121,0.7990452141971965,1165.3397282914973,True,7.84189445664454e-05,0.10627383941490948,0.7969366720399874,1165.1720337901172,True,0.0017540438988682128,0.005513010556719947,False,,10.0%
AKDHL,562,0.0693950177935943,0.00018240439902419872,0.16338980056377128,0.6771203307745466,1125.8390195125567,True,0.0001915755334053211,0.2583751038440387,0.6419155816077078,971.1029223752887,True,0.00025114426329844025,0.2438538785819251,0.5800638793031578,974.0921808449193,True,0.0804640780181538,0.09498530328026744,False,,7.5%
